Dp,Commune,Habitants,densite
01,Abergement-Clémenciat ,579,36
01,Abergement-de-Varey ,159,17
01,Ambérieu-en-Bugey,10455,425
01,Ambérieux-en-Dombes,1156,73
01,Ambléon,76,13
01,Ambronay,1996,59
01,Ambutrix,595,114
01,Andert-et-Condon,262,38
01,Anglefort,687,23
01,Apremont,341,23
01,Aranc,291,13
01,Arandas,128,9
01,Arbent,3369,143
01,Arbignieu,387,30
01,Arbigny,314,18
01,Argis,405,52
01,Armix,14,2
01,Ars-sur-Formans,851,155
01,Artemare,961,256
01,Asnières-sur-Saône,68,15
01,Attignat,1776,95
01,Bâgé-la-Ville,1959,49
01,Bâgé-le-Châtel,751,853
01,Balan,1668,92
01,Baneins,377,42
01,Beaupont,422,30
01,Beauregard,868,923
01,Bellignat,3233,413
01,Béligneux,2319,174
01,Bellegarde-sur-Valserine,11153,731
01,Belley,7807,348
01,Belleydoux,232,13
01,Belmont-Luthézieu,308,16
01,Bénonces,249,16
01,Bény,587,32
01,Béon,348,34
01,Béréziat,308,28
01,Bettant,703,209
01,Bey,195,70
01,Beynost,3141,295
01,Billiat,396,29
01,Birieux,125,8
01,Biziat,574,50
01,Blyes,535,57
01,Boisse ,2419,257
01,Boissey,206,23
01,Bolozon,93,19
01,Bouligneux,274,11
01,Bourg-en-Bresse,40972,1717
01,Bourg-St-Christophe,716,80
01,Boyeux-St-Jérôme,241,14
01,Boz,352,48
01,Brégnier-Cordon,511,46
01,Brénaz,95,10
01,Brénod,385,16
01,Brens,638,92
01,Bressolles,480,62
01,Brion,587,131
01,Briord,618,50
01,Buellas,1162,114
01,Burbanche ,60,6
01,Ceignes,160,16
01,Cerdon,672,55
01,Certines,916,58
01,Cessy,1763,276
01,Ceyzériat,2058,220
01,Ceyzérieu,766,39
01,Chalamont,1476,45
01,Chaleins,754,44
01,Chaley,107,23
01,Challes,193,25
01,Challex,967,112
01,Champagne-en-Valromey,667,37
01,Champdor,459,26
01,Champfromier,440,14
01,Chanay,410,23
01,Chaneins,478,38
01,Chanoz-Châtenay,476,35
01,Chapelle-du-Châtelard ,247,18
01,Charix,261,14
01,Charnoz-sur-Ain,416,63
01,Château-Gaillard,1027,64
01,Châtenay,276,18
01,Châtillon-en-Michaille,2189,58
01,Châtillon-la-Palud,874,62
01,Châtillon-sur-Chalaronne,3786,211
01,Chavannes-sur-Reyssouze,565,34
01,Chavannes-sur-Suran,419,19
01,Chaveyriat,766,45
01,Chavornay,175,23
01,Chazey-Bons,684,65
01,Chazey-sur-Ain,895,41
01,Cheignieu-la-Balme,110,18
01,Chevillard,137,21
01,Chevroux,586,34
01,Chevry,733,126
01,Chézery-Forens,357,8
01,Civrieux,954,48
01,Cize,112,25
01,Cleyzieu,84,11
01,Coligny,1117,66
01,Collonges,1000,62
01,Colomieu,114,19
01,Conand,56,4
01,Condamine,248,53
01,Condeissiat,581,27
01,Confort,449,39
01,Confrançon,805,44
01,Contrevoz,416,29
01,Conzieu,79,11
01,Corbonod,841,27
01,Corcelles,207,15
01,Corlier,76,14
01,Cormaranche-en-Bugey,704,37
01,Cormoranche-sur-Saône,780,79
01,Cormoz,502,26
01,Corveissiat,437,19
01,Courmangoux,327,22
01,Courtes,194,21
01,Crans,209,16
01,Cras-sur-Reyssouze,846,61
01,Cressin-Rochefort,250,32
01,Crottet,1313,108
01,Crozet,1164,42
01,Cruzilles-lès-Mépillat,580,49
01,Culoz,2639,136
01,Curciat-Dongalon,449,19
01,Curtafond,422,34
01,Cuzieu,240,49
01,Dagneux,3317,499
01,Divonne-les-Bains,5580,165
01,Dommartin,537,31
01,Dompierre-sur-Veyle,828,28
01,Dompierre-sur-Chalaronne,268,56
01,Domsure,436,29
01,Dortan,2107,116
01,Douvres,606,115
01,Drom,146,19
01,Druillat,823,40
01,Echallon,550,20
01,Echenevex,997,61
01,Etrez,510,42
01,Evosges,101,8
01,Faramans,482,43
01,Fareins,1545,188
01,Farges,559,39
01,Feillens,2624,176
01,Ferney-Voltaire,6408,1341
01,Flaxieu,53,19
01,Foissiat,1481,37
01,Amareins-Francheleins-Cesseins,826,61
01,Frans,1549,194
01,Garnerans,484,56
01,Genouilleux,320,78
01,Géovreissiat,455,97
01,Géovreisset,450,129
01,Germagnat,86,9
01,Gex,6615,207
01,Giron,88,9
01,Gorrevod,512,74
01,Grand-Abergement ,96,3
01,Grand-Corent,104,15
01,Grièges,1606,108
01,Grilly,634,85
01,Groissiat,611,97
01,Groslée,286,39
01,Guéreins,995,221
01,Hautecourt-Romanèche,588,27
01,Hauteville-Lompnes,3895,77
01,Hostias,56,5
01,Hotonnes,268,9
01,Illiat,396,19
01,Injoux-Génissiat,940,32
01,Innimond,81,6
01,Izenave,130,10
01,Izernore,1170,56
01,Izieu,161,21
01,Jassans-Riottier,4609,958
01,Jasseron,1079,57
01,Jayat,650,40
01,Journans,286,118
01,Joyeux,171,10
01,Jujurieux,1602,104
01,Labalme,120,14
01,Lagnieu,5686,209
01,Laiz,806,78
01,Lalleyriat,191,13
01,Lancrans,815,84
01,Lantenay,235,36
01,Lapeyrouse,207,10
01,Lavours,108,17
01,Léaz,461,40
01,Lélex,232,13
01,Lent,1043,33
01,Lescheroux,527,26
01,Leyment,822,58
01,Leyssard,113,12
01,Lhôpital,53,14
01,Lhuis,587,24
01,Lochieu,69,10
01,Lompnas,137,11
01,Lompnieu,97,9
01,Loyettes,2256,106
01,Lurcy,199,41
01,Magnieu,290,47
01,Maillat,623,55
01,Malafretaz,624,68
01,Mantenay-Montlin,256,24
01,Manziat,1482,117
01,Marboz,2026,50
01,Marchamp,106,8
01,Marignieu,138,39
01,Marlieux,633,38
01,Marsonnas,728,40
01,Martignat,1003,76
01,Massieux,1782,575
01,Massignieu-de-Rives,412,43
01,Matafelon-Granges,406,19
01,Meillonnas,1051,59
01,Mérignat,85,27
01,Messimy-sur-Saône,827,139
01,Meximieux,6230,453
01,Bohas-Meyriat-Rignat,657,28
01,Mézériat,1995,104
01,Mijoux,258,12
01,Mionnay,1103,56
01,Miribel,7683,314
01,Misérieux,1224,165
01,Mogneneins,491,57
01,Montagnat,1173,85
01,Montagnieu,356,57
01,Montanges,248,18
01,Montceaux,672,67
01,Montcet,420,63
01,Montellier ,170,11
01,Monthieux,344,32
01,Montluel,5954,148
01,Montmerle-sur-Saône,2596,624
01,Montracol,551,38
01,Montréal-la-Cluse,3496,272
01,Montrevel-en-Bresse,1973,192
01,Nurieux-Volognat,856,44
01,Murs-et-Gélignieux,188,29
01,Nantua,3602,282
01,Nattages,322,31
01,Neuville-les-Dames,1141,43
01,Neuville-sur-Ain,1151,58
01,Neyrolles ,615,65
01,Neyron,1723,321
01,Niévroz,1061,101
01,Nivollet-Montgriffon,66,8
01,Oncieu,68,9
01,Ordonnaz,115,8
01,Ornex,2263,401
01,Outriaz,275,47
01,Oyonnax,23869,663
01,Ozan,408,62
01,Parcieux,784,250
01,Parves,286,52
01,Péron,1202,46
01,Péronnas,5352,305
01,Pérouges,851,45
01,Perrex,714,64
01,Petit-Abergement ,141,5
01,Peyriat,154,26
01,Peyrieu,560,40
01,Peyzieux-sur-Saône,245,28
01,Pirajoux,304,23
01,Pizay,433,39
01,Plagne,73,12
01,Plantay ,344,17
01,Poizat ,270,15
01,Polliat,2025,101
01,Pollieu,108,29
01,Poncin,1229,62
01,Pont-d'Ain,2258,201
01,Pont-de-Vaux,1913,254
01,Pont-de-Veyle,1421,732
01,Port,773,182
01,Pougny,600,77
01,Pouillat,38,6
01,Prémeyzel,190,25
01,Prémillieu,40,5
01,Pressiat,155,26
01,Prévessin-Moëns,3723,308
01,Priay,948,60
01,Pugieu,123,25
01,Ramasse,189,19
01,Rancé,410,43
01,Relevant,327,26
01,Replonges,2687,162
01,Revonnas,438,57
01,Reyrieux,3057,195
01,Reyssouze,709,74
01,Rignieux-le-Franc,743,49
01,Romans,480,22
01,Rossillon,103,13
01,Ruffieu,144,10
01,St-Alban,122,15
01,St-André-de-Bâgé,437,162
01,St-André-de-Corcy,2547,123
01,St-André-d'Huiriat,368,41
01,St-André-le-Bouchoux,171,18
01,St-André-sur-Vieux-Jonc,979,40
01,St-Bénigne,823,50
01,St-Benoît,488,23
01,St-Bernard,872,277
01,St-Bois,113,12
01,St-Champ,143,28
01,Ste-Croix,365,34
01,St-Cyr-sur-Menthon,1243,73
01,St-Denis-lès-Bourg,4145,329
01,St-Denis-en-Bugey,1780,682
01,St-Didier-d'Aussiat,594,39
01,St-Didier-de-Formans,1288,197
01,St-Didier-sur-Chalaronne,2065,83
01,St-Eloi,358,25
01,St-Etienne-du-Bois,1982,70
01,St-Etienne-sur-Chalaronne,1037,49
01,St-Etienne-sur-Reyssouze,376,27
01,Ste-Euphémie,857,186
01,St-Genis-Pouilly,5696,583
01,St-Genis-sur-Menthon,324,28
01,St-Georges-sur-Renon,126,22
01,St-Germain-de-Joux,465,41
01,St-Germain-les-Paroisses,273,17
01,St-Germain-sur-Renon,190,12
01,St-Jean-de-Gonville,1001,81
01,St-Jean-de-Niost,810,57
01,St-Jean-de-Thurigneux,504,31
01,St-Jean-le-Vieux,1274,83
01,St-Jean-sur-Reyssouze,541,20
01,St-Jean-sur-Veyle,926,83
01,Ste-Julie,529,47
01,St-Julien-sur-Reyssouze,532,71
01,St-Julien-sur-Veyle,522,53
01,St-Just,614,182
01,St-Laurent-sur-Saône,1710,3226
01,St-Marcel,786,68
01,St-Martin-de-Bavel,327,38
01,St-Martin-du-Frêne,971,51
01,St-Martin-du-Mont,1179,42
01,St-Martin-le-Châtel,555,43
01,St-Maurice-de-Beynost,3468,496
01,St-Maurice-de-Gourdans,1575,62
01,St-Maurice-de-Rémens,613,59
01,St-Nizier-le-Bouchoux,625,22
01,St-Nizier-le-Désert,484,19
01,Ste-Olive,196,27
01,St-Paul-de-Varax,1081,42
01,St-Rambert-en-Bugey,2112,74
01,St-Rémy,668,91
01,St-Sorlin-en-Bugey,832,92
01,St-Sulpice,102,19
01,St-Trivier-de-Courtes,1064,64
01,St-Trivier-sur-Moignans,1471,35
01,St-Vulbas,710,33
01,Salavre,246,32
01,Samognat,285,20
01,Sandrans,346,12
01,Sault-Brénaz,1014,181
01,Sauverny,1067,565
01,Savigneux,792,54
01,Ségny,1211,374
01,Seillonnaz,120,13
01,Sergy,1201,127
01,Sermoyer,522,31
01,Serrières-de-Briord,834,104
01,Serrières-sur-Ain,71,9
01,Servas,879,67
01,Servignat,136,17
01,Seyssel,817,340
01,Simandre-sur-Suran,574,35
01,Songieu,101,5
01,Sonthonnax-la-Montagne,242,17
01,Souclin,197,15
01,Sulignat,434,40
01,Surjoux,70,16
01,Sutrieu,209,11
01,Talissieu,401,84
01,Tenay,1356,103
01,Thézillieu,297,11
01,Thil,769,149
01,Thoiry,3015,104
01,Thoissey,1306,975
01,Torcieu,569,53
01,Tossiat,979,96
01,Toussieux,437,92
01,Tramoyes,1136,88
01,Tranclière ,254,17
01,Treffort-Cuisiat,1779,45
01,Trévoux,6092,1067
01,Valeins,61,14
01,Vandeins,415,44
01,Varambon,353,44
01,Vaux-en-Bugey,881,107
01,Verjon,235,46
01,Vernoux,148,15
01,Versailleux,219,12
01,Versonnex,1866,317
01,Vesancy,363,34
01,Vescours,184,15
01,Vésines,108,28
01,Vieu-d'Izenave,524,22
01,Vieu,293,45
01,Villars-les-Dombes,3415,139
01,Villebois,924,64
01,Villemotier,419,30
01,Villeneuve,845,32
01,Villereversure,1003,57
01,Villes,226,25
01,Villette-sur-Ain,412,21
01,Villieu-Loyes-Mollon,2182,137
01,Viriat,4701,104
01,Virieu-le-Grand,922,73
01,Virieu-le-Petit,279,17
01,Virignin,550,70
01,Vongnes,92,45
01,Vonnas,2381,134
02,Abbécourt,467,78
02,Achery,564,82
02,Acy,985,84
02,Agnicourt-et-Séchelles,209,19
02,Aguilcourt,328,31
02,Aisonville-et-Bernoville,216,25
02,Aizelles,81,17
02,Aizy-Jouy,230,16
02,Alaincourt,521,88
02,Allemant,136,27
02,Ambleny,1119,65
02,Ambrief,91,20
02,Amifontaine,351,13
02,Amigny-Rouy,693,53
02,Ancienville,34,9
02,Andelain,163,56
02,Anguilcourt-le-Sart,278,30
02,Anizy-le-Château,1896,200
02,Annois,372,63
02,Any-Martin-Rieux,525,30
02,Archon,87,14
02,Arcy-Ste-Restitue,328,12
02,Armentières-sur-Ourcq,85,12
02,Arrancy,42,8
02,Artemps,347,55
02,Artonges,134,10
02,Assis-sur-Serre,257,32
02,Athies-sous-Laon,2124,138
02,Attilly,401,34
02,Aubencheul-aux-Bois,275,130
02,Aubenton,826,35
02,Aubigny-aux-Kaisnes,263,71
02,Aubigny-en-Laonnois,120,27
02,Audignicourt,94,17
02,Audigny,214,20
02,Augy,62,24
02,Aulnois-sous-Laon,1146,114
02,Autels ,99,17
02,Autremencourt,125,14
02,Autreppes,150,22
02,Autreville,749,211
02,Azy-sur-Marne,372,134
02,Bagneux,61,28
02,Bancigny,39,12
02,Barenton-Bugny,578,51
02,Barenton-Cel,141,21
02,Barenton-sur-Serre,106,13
02,Barisis,689,46
02,Barzy-en-Thiérache,308,40
02,Barzy-sur-Marne,359,48
02,Bassoles-Aulers,121,17
02,Baulne-en-Brie,219,12
02,Bazoches-sur-Vesles,351,37
02,Beaumé,113,12
02,Beaumont-en-Beine,138,26
02,Beaurevoir,1425,66
02,Beaurieux,654,67
02,Beautor,3114,419
02,Beauvois-en-Vermandois,304,40
02,Becquigny,253,54
02,Belleau,134,20
02,Bellenglise,441,69
02,Belleu,4083,901
02,Bellicourt,664,68
02,Benay,206,30
02,Bergues-sur-Sambre,211,48
02,Berlancourt,112,22
02,Berlise,108,16
02,Bernot,459,28
02,Berny-Rivière,528,67
02,Berrieux,162,33
02,Berry-au-Bac,509,63
02,Bertaucourt-Epourdon,462,62
02,Berthenicourt,200,65
02,Bertricourt,66,15
02,Berzy-le-Sec,365,31
02,Besmé,136,51
02,Besmont,165,10
02,Besny-et-Loizy,314,32
02,Béthancourt-en-Vaux,353,82
02,Beugneux,75,10
02,Beuvardes,642,41
02,Bézu-le-Guéry,165,15
